English,Hindi,Definition
celestial equator,खगोलीय विषुववृत्त,खगोल का वह वृहद् वृत्त जिसके सभी बिंदु खगोलीय ध्रुवों से 90° पर होते हैं।
celestial horizon,खगोलीय क्षितिज,खगोल का वह वृहद् वृत्त जिसका प्रत्येक बिंदु प्रेक्षक-सापेक्ष शिरोबिंदु और अधोबिंदु से 90° की कोणीय दूरी पर हो। पृथ्वी-केंद्र से होकर प्रेक्षक के संवेद्य क्षितिज के समांतर जाने वाले समतल का खगोल के साथ प्रतिच्छेद।
celestial circle,खगोलीय वृत्त,"सवृत्त खगोल का कोई वृहत् अथवा लघु वृत्त, जैसे विषुव-वृत्त, क्रांति-वृत्त इत्यादि।"
celestial latitude,"1.शर,2. खगोलीय अक्षांश",क्रांति वृत्त के उत्तर या दक्षिण में किसी ग्रह या तारे की कोणीय दूरी जो अक्षांश-वृत्त की दिशा में मापी जाती है।
celestial longitude,"1. भोगांश,2. खगोलीय देशांतर","विषुव उन्मंडल के पूर्व या पश्चिम में किसी ग्रह या तारे की कोणीय दूरी जो विषुव-उन्मंडल के विषुव-बिंदु से उस बिंदु तक क्रांति वृत्त की दिशा में मापी गई हो, जो ग्रह या तारे से होकर जाने वाले अक्षांश वृत्त का पाद हो। यह दूरी विषुव-बिंदु सेपूर्व की दिशा में मापी जाती है और 0° से 360° तक होती है।"
celestial mechanics,खगोलीय यांत्रिकी,खगोल-विज्ञान की वह शाखा जिसमें गुरुत्व-बलों के अधीन चलने वाले खगोलीय पिंडों की गतियों के बारे में अध्ययन किया जाता है। इसे गुरुत्व- खगोलिकी तथा गणितीय खगोलिकी भी कहा जाता है।
lestial meridian,खगोलीय याम्योत्तर,"पृथ्वी के किसी याम्योत्तर का खगोल पर प्रक्षेप। पृथ्वी के किसी स्थान का खगोलीय याम्योत्तर, खगोल का वह बृहद वृत्त होता है जो खगोलीय
ध्रुवों, अधोबिन्दु तथा शिरोबिन्दु से होकर जाता है और जो ठीक उत्तर तथा दक्षिण में क्षितिज को काटता है।"
celestial sphere,खगोल,"वह काल्पनिक गोला जिस पर सभी खगोलीय पिंड घूमते हुए प्रतीत होते हैं, जिसका केन्द्र स्वयं प्रेक्षक का स्थान है और जिसकी त्रिज्या अनंत है।"
census,1. गणना 2. जनगणना,"1. गणना : किसी नियत समय पर किन्हीं सुनिश्चित विशेषताओं के आधार पर वस्तुओं अथवा व्यक्तियों के किसी समूह की गिनती।
2. जनगणना : किसी राज्य, नगर अथवा अन्य प्रशासकीय क्षेत्र की जनसंख्या की गिनती जिसमें प्रायः जन्म-मृत्यु, संख्या एवं सामाजिक- आर्थिक स्थितियों से संबंधित सूचनाएं भी सम्मिलित रहती हैं।"
centesimal system (of angles),शतिक पद्धति,"कोण-मापन की वह पद्धति जिसमें समकोण का सौवां भाग अंश कहलाता है, अंश का सौवां भाग कला (मिनट) है और कला के सौवां भाग विकला (सेकंड) कहा जाता है।"
centile,शततमक,किसी बारंबारता-बंटन में संपूर्ण बारंबारता को सौ बराबर भागों में बांटने वाले चर-मानों के समुच्चय का कोई सदस्य।
central conic,सकेंद्र शांकव,"वह शांकव जिसका कोई केंद्र हो। वृत्त, दीर्घवृत्त और अति परवलय सकेंद्र शांकव हैं जबकि परवलय अकेंद्र है।"
central difference,केंद्रीय अंतर,"y = f(x) की अंतर सारणी के संदर्भ में राशि 
  का अंतर 𝛿 f(x)=f(x+h/2)- f(x-h/2) जहां h स्वतंत्र चर x के दो क्रमागत मानोंहै और जिसका संपूर्ण सारणी में एक ही मान होता है। इसका प्रयोग अंतर्वेशन-सूत्रों में किया जाता है।"
central difference operator,केंद्रीय अंतर संकारक,"केंद्रीय अंतर की परिभाषा
 𝛿 f(x)=f(x+h/2)- f(x-h/2) में आने वाला संकारक 8, जिसका प्रयोग अंतर्वेशन की समस्याओं में किया जाता है।"
central force,केंद्रीय,बल कोई बल जिसकी दिशा सदा ही एक नियत बिंदु अर्थात् केंद्र की ओर होती है। केवल केंद्रीय बल के अधीन चलने वाले किसी कण का केंद्र-सापेक्ष कोणीय आघूर्ण एक अचर सदिश होगा और इसलिए उसकी गति समतलीय होगी।
central limit theorem,केंद्रीय सीमा,प्रमेय प्रसामान्य बंटन से संबंधित एक महत्वपूर्ण प्रमेयः यदि n स्वतंत्र विचरों में से प्रत्येक का प्रसरण परिमित हो तो मानक माप पर व्यक्त करने पर इन विचरों का बंटन उसी सीमांत स्थिति में प्रसामान्यता की ओर प्रवृत्त होगा जबकि अनंत n की ओर प्रवृत्त होता हो।
central tendency,केंद्रीय प्रवृत्ति,"मात्रात्मक आंकड़ों की वह विशेषता जिसमें इन आंकड़ों का प्रभाव किसी केंद्रीय मान के आस-पास अधिक घना होता है। इस केंद्रीय मान का निर्धारण प्रायः माध्य, बहुलक, माध्यिका आदि के रूप में किया जाता है।"
centre,केंद्र,"1. कोई बिंदु जिसके सापेक्ष बिंदुओं अथवा अन्य ज्यामितीय तत्वों का कोई निकाय सममित रहताहो। जैसे वृत्त का केंद्र, जिससे वृत्त के प्रत्येक बिंदु, केंद्र से समान दूरी पर रहते हैं।
 2. किसी समूह G का केन्द्र, समुच्चय Z होता है जिसकी परिभाषा निम्नलिखित है : Z = = {z 𝜖 G जहां सभी x𝜖 G के लिए 2x = xz). यह G का एक उपसमूह होता है।"
centre of buoyancy,उत्प्लावकता-केंद्र,किसी तरल पदार्थ में तैरते हुए या डुबाए हुए किसी पिंड द्वारा विस्थापित किए गए तरल का संहति-केंद्र। हो।
cenntre of curvature,वक्रता-केंद्र,"1. किसी समतल-वक्र के किसी बिंदु से जाने वाले उस वृत्त का केंद्र जिसकी त्रिज्या उस बिंदु पर वक्र की वक्रता का व्युत्क्रम
 2. किसी पृष्ठ के किसी बिंदु P के संदर्भ में, Pऔर Q से खींचे गए पृष्ठ के अभिलंबों का प्रतिच्छेद-बिंदु, जहां, बिंदु Q बिंदु P का सन्निकट
 बिंदु है और सीमांत स्थिति में उसकी प्रवृत्ति P से संपाती होने की है। दे. curvature."
centre of gravity,गुरुत्व केंद्र,वह बिंदु जिससे होकर किसी पिंड के प्रत्येक अभिविन्यास (स्थिति) में उस पर लग रहे गुरुत्व-बलों का परिणामी बल गुजरता है।
centre of oscillation,दोलन केंद्र,"किसी भौतिक लोलक का वह बिंदु जो लोलक के निलंबन-बिंदु और संहति-केंद्र को मिलाने वाली रेखा पर निलंबन-केंद्र के नीचे उतनी दूरी
 पर रहता है जितना कि एक तुल्यकाली सरल लोलक की लंबाई होती है।"
centre of percussion,आघात केंद्र,किसी भौतिक लोलक का वह बिंदु जिस पर आघात केंद्र और दोलन केंद्र का संपतन होता है।
centre of pressure,दाब-केंद्र,किसी निमज्जित पिंड के किसी क्षेत्र का वह बिंदु जिस पर क्षेत्र पर लगे हुए दाब-बलों का परिणामी बल कार्य करता है।
centrifugal force,अपकेंद्र बल,"वह बल जो किसी वक्र पथ पर चलने वाले किसी कण द्वारा उसकी गति को प्रतिबंधित करने वाले बल पर लगाई हुई प्रतिक्रिया के रूप में अनुभव
 होता है। इसकी दिशा बिंदु पर वक्र की वक्रता-त्रिज्या के बाहर की ओर की दिशा है।"
centripetal force,अभिकेंद्र बल,"वह बल जिसके प्रभाव में कोई कण किसी वक्र-पथ पर इस प्रकार चलता है कि कण के त्वरण की दिशा पथ के वक्रता-केंद्र की ओर हो। द्रव्यमान m वाले किसी कण का अभिकेंद्र बल mv^2/r होता है, जहां r पथ की वक्रता त्रिज्या है और v उस कण की चाल है।"
centrode,"1.सेन्ट्रोड, 2.घूर्णन-केंद्र-पथ",समतल पर चलने वाली किसी आकृति के तात्कालिक केंद्र का पथ।
centroid,केंद्रक,"1. किसी दी हुई ज्यामितीय आकृति का वह बिंदु जिसके निर्देशांक आकृति के सकल निर्देशांकों के माध्यमान होते हैं।
 2. दे. centre of mass."
C.G.S. system,C.G.S. पद्धति,"लंबाई, द्रव्यमान और समय के मापन की वह पद्धति जिसमें क्रमशः सेंटीमीटर, ग्राम और सेकंड मूलभूत मात्रक मान लिए गए हैं।"
chance,संयोग,"किसी घटना के अथवा किसी परिणाम के प्राप्त होने की संभावना अथवा उस संभावना की माप। संयोग को मापने के लिए प्रायिकता का उपयोग
 किया जाता है।"
change of axes,अक्ष-परिवर्तन,निर्देशांकों का स्थानांतरण अथवा घूर्णन द्वारा एक तंत्र से दूसरे तंत्र में परिवर्तन।
character,संप्रतीक,"कोई सरल चिन्ह जो अन्य चिन्हों से मिलकर किन्हीं आंकड़ों का प्रतिनिधित्व करता है। ये अक्षरों, अंकों, विरामादि चिन्हों के समुच्चयों के सदस्य होते हैं और इनको शब्दों, संख्याओं आदि के रूप में विन्यस्त
 कर सकते हैं। ये वैद्युत स्पंद, ध्वनि-तरंग आदि भौतिक इकाइयां भी हो सकती हैं। कंप्यूटर तकनीक में ये संप्रतीक ही मुख्य साधन होते हैं।"
characteristic,1. अभिलक्षणिकः 2. पूर्णांश :,"1. अभिलक्षणिकः किसी पूर्णांकीय प्रांत D के संदर्भ में ऐसा न्यूनतम धन पूर्णांक p जो D के किसी शून्येतर अवयव a के लिए pa शून्य के बराबर हो। यह सिद्ध किया जा सकता है कि p या तो शून्य है या एक अभाज्य पूर्णांक । यदि p शून्य है तो D को शून्य अभिलक्षणिक वाला पूर्णांकीय प्रांत कहते हैं, अन्यथा परिमित अभिलक्षणिक वाला पूर्णांकीय प्रांत ।
 2. पूर्णांश : दे. characteristic of logarithm."
characteristic curve,अभिलक्षणिक वक्र,"1. एकघात आंशिक अवकल समीकरण f (x,y)𝛿 z/𝛿 dx+ g(x,y)𝛿 z/𝛿 dx= h (x,y) के संदर्भ में वह वक्र जिसके प्राचलीय समीकरण
 x = x(t),y = y(t), z = Z(t) हैं, जहां dx/dt=f (x,y), dy/dt = g (x,y)dz/dt = h (x,y) है।
 2. किसी युक्ति के लक्षणों को व्यक्त करने वाला विशिष्ट वक्र ।"
characteristic equation,अभिलक्षणिक समीकरण,"किसी वर्ग आव्यूह A = {a.) = 1,2...,n के संदर्भ में निम्नलिखित सारणिक द्वारा निरूपित बीजीय समीकरण जिसका स्वतंत्र 𝜆 चर है।
 |a11-𝜆 - a12 ... a1n|
 |a21 a22-𝜆 ... a2n|= 0
 |... ... ... ...|
 |ani an2 ... ann-𝜆 |
 
 संक्षिप्त संकेतों में समीकरण यह है:
 सारणिक | A - 𝜆I | = 0 जहां I आव्यूह A की ही कोटि का तत्समक आव्यूह है।"
characteristic function,अभिलक्षण फलन,"रेखीय संकारक A के लिए वह फलन f जो Af= 𝜆 f, 𝜆 = 0 को संतुष्ट करता है।"
characteristic of logarithm,लघुगणक का पूर्णांश,साधारण लघुगणक का पूर्णांकीय भाग। एक से दस तक की संख्याओं के लिए पूर्णाश शून्य के बराबर होगा और 10 तथा उससे बड़ी संख्याओं के लिए पूर्णांकीय भाग की अंक-संख्या से एक कम होगा। एक से छोटी संख्याओं के लिए पूर्णांश ऋणात्मक होंगे और उतने से एक अधिक होगा जितने कि दशमलव बिंदु के बाद शून्य हैं।
characteristic root,अभिलक्षणिक मूल,"आव्यूह के अभिलक्षणिक समीकरण का कोई मूल । व्यापक अर्थ में यदि V क्षेत्र F पर कोई परिमितविम सदिश समष्टि है, T समष्टि V पर कोई रैखिक रूपांतरण है (अर्थात् T𝜖A(V) जहां A(V) इन रूपांतरणों की बीजावली है) तो 𝜆𝜖F को तब T का एक अभिलक्षणिक मूल कहते हैं जब 𝜆I-T अव्युत्क्रमणीय हो, जहां I बीजावली का तत्समक अवयव है। पर्याय आइगेन मान।"
characteristic vector,अभिलक्षणिक सदिश,"यदि V क्षेत्र F पर कोई परिमितविम सदिश समष्टि हो, T समष्टि V पर कोई रैखिक रूपांतरण हो, (अर्थात् T 𝜖 A(V), जहां A(V) इन रूपांतरणों की बीजावली है) और 𝜆𝜖F रैखिक रूपांतरण T का एक अभिलक्षणिक मूल हो तो उस शून्येतर सदिश V𝜖V को T का 2 से संबद्ध अभिलक्षणिक सदिश कहते हैं जिसके लिए vT = 𝜆v."
Chi-square statistic,काई-वर्ग प्रतिदर्शज,"किसी बंटन में प्रेक्षित मान और सैद्धांतिक मान की अन्योन्य संगति की जांच करने के लिए स्वीकृत एक प्रतिदर्शज। यदि n मानों का कोई समुच्चय k वर्गों में बंटित हो और jवें वर्ग की प्रेक्षित बारंबारता
 nj और सैद्धांतिक बारंबारता vj हो तो यह प्रतिदर्शज
 𝛴 (nj - vj,)^2/ Vj के बराबर है।"
chi-square test,काई-वर्ग परीक्षण,काई-वर्ग प्रतिदर्शज पर आधारित एक सार्थकता- परीक्षण।
chord,जीवा,किसी दिए हुए वक्र अथवा पृष्ठ के दो निर्दिष्ट बिंदुओं के बीच एक सरल रेखा द्वारा अंतरित खंड।
Christoffel symbols,क्रिस्टोफेल प्रतीक,"किसी द्विघाती अवकल समघात के गुणांकों औरगुणांकों के प्रथम कोटि के आंशिक अवकलजों वाले कुछ प्रतीक। द्विघाती अवकल समघात g11dx1^2+2g11dx1dx2+g22dx2^2 के लिए प्रथम कोटि का क्रिस्टोफेल प्रतीक [k^ij]=1/2(𝛿g^ik/𝛿x+ 𝛿g^jk/𝛿x- 𝛿g^ij/𝛿x) होता है और द्वितीय प्रकार का प्रतीक
 {k^ij}=g^ki[k^ij]+g^k2[2^ij] है। यहां i, jऔर k अलग-अलग से 1 और 2 के बराबर है और g^ki सारणिक 𝛥 =∣g12 g12,g22∣ के सहखंड और𝛥 का अनुपात है।"
chronograph,"1.समयलेखी,2. क्रोनोग्राफ, 3.काल लेखी",ऐसी घड़ी जो समय दर्शाने के अतिरिक्त स्टाप का भी काम करती है।
chunk sampling,खंड-प्रतिचयन,"प्रतिदर्श-सर्वेक्षण से संबद्ध एक तकनीक जिसमें प्रतिनिधित्व की अपेक्षा सुविधा पर अधिक ध्यान दिया जाता है। उदाहरणार्थ, व्यक्तियों का एक वर्ग जिनके पास आसानी से पहुंचा जा सकता है और जो प्रश्नों के उत्तर देने में सहयोग देते हैं।"
cipher,"1.शून्य,2. सिफर",देo zero
circle,वृत्त,एक समतल वक्र जिसके सभी बिंदु समतल में स्थित एक नियत बिंदु से एक ही दूरी पर होते हैं।
circle of convergence,अभिसरण वृत्त,"घात-श्रेणी C0+c1, (z-a) + c2 (z-a) + ....... + cn(z-
 a)^2 + के संदर्भ में संमिश्र समतल का वह वृत्त जिसका केंद्र है और जिसकी त्रिज्या श्रेणी की अभिसरण-त्रिज्या R है। इसका समीकरण |z-
 a| = R है। दे. radius of convergence."
circle of curvature,वक्रता-वृत्त,"किसी समतल वक्र के किसी बिंदु से जाने वाला वह वृत्त जिसकी त्रिज्या उस बिंदु पर वक्र की वक्रता का व्युत्क्रम हो, जिसकी उस बिंदु पर वक्र के साथ एक उभयनिष्ठ स्पर्श रेखा हो और जो इस स्पर्श
 रेखा के उसी पार्श्व पर स्थित हो जिस पर वक्र स्थित है। दे. curvature, centre of curvature"
circulant,चक्रक,"वह सारणिक जिसकी प्रत्येक पंक्ति उसके ठीक ऊपर की पूरी पंक्ति की दाईं ओर एक स्थान तक सरकाकर और आखिरी अवयव को पंक्ति के आरंभ में रखकर बनाई हुई है। इसके मुख्य विकर्ण के सभी अवयव समरूप होते हैं, जैसे
 ∣a b c, c a b, b c a∣"
circular function,वृत्तीय फलन,ज्या (साइन). कोज्या (कोसाइन) आदि त्रिकोणमितीय फलन ।
circular permutation,वृत्तीय क्रमचय,वस्तुओं का वह क्रमचय जिसमें वस्तुएं एक वृत्त की परिधि में विन्यस्त हैं।
circular point,वृत्तीय बिंदु,किसी पृष्ठ का वह बिंदु जिस पर अभिलंब-वक्रता की मुख्य त्रिज्याएं बराबर होती हैं।
circular test,श्रृंखलिक परीक्षण,"सूचकाकों के आधार-काल को चुनने में प्रयुक्त एक परीक्षण, यदि काल B को आधार मानने पर काल A का सूचकांक Iba हो और काल C को आधार मानने पर B का सूचकांक Icb हो तो श्रृंखलिक परीक्षण के
 लिए यह अपेक्षित है कि काल C को आधार मानने पर काल A का सूचकांक Ica ऐसा होना चाहिए कि Ica = Icb. Iba"
circumcentre,परिकेंद्र,"किसी परिवृत्त का केंद्र, दे. circum cirle."
circumcircle,परिवृत्त,किसी बहुभुज के सभी शीर्ष बिंदुओं से होकर जाने वाला वृत्त।
circumpolar star,"1.परिधुवी तारा, 2.सदोदित तारा",पृथ्वी के किसी स्थान के संदर्भ में वह तारा जिसका संपूर्ण दैनिक परिक्रमण उस स्थान के क्षैतिज के ऊपर ही रहता है।
class ,वर्ग,"1. फलनों, समुच्चयों आदि गणितीय तत्वों का कोई संग्रह, जो किन्हीं विशिष्ट लक्षणों के अनुसार संगृहीत हैं। उदा. तुल्यता-वर्ग।
2. किसी बंटन के विचर मानों का कोई समुच्चय जिसे विश्लेषण की सुविधा के लिए संपूर्ण परिसर को किसी क्रम में विभक्त करके बनाया गया हो।
3. किसी समूह के परस्पर संयुग्मी अवयवों का संपूर्ण समूह।
"
class interval, वर्ग अंतराल,"
किसी बारंबारता-बंटन में किसी बारंबारता-वर्ग के विचर मानों में सबसे बड़े और सबसे छोटे मानों का अंतर।"
closed interval ,बंद अंतराल,"
वास्तविक संख्याओं x का वह समुच्चय जो निम्नलिखित असमिका को संतुष्ट करता है: a ≤ x ≤b जबकि a, b नियत वास्तविक संख्याएं हैं। इसको [a,b] द्वारा प्रदर्शित करते हैं।"
closed set ,संवृत समुच्चय,"
किसी सांस्थितिक समष्टि का एक ऐसा उपसमुच्चय F जिसका पूरक विवृत हो। कोई उपसमुच्चय यदि अपने प्रत्येक सीमांत बिंदु को आविष्ट करे तभी वह संवृत समुच्चय होता है अन्यथा नहीं। उदाहरणतः यूक्लिडीय समतल में किसी वृत्त पर तथा उसके अंदर स्थित सभी बिंदुओं का समुच्चय ।"
closure ,संवरक,"
किसी सांस्थितिक समष्टि में किसी समुच्चय तथा उसके सीमांत बिंदुओं का सम्मिलन उस समुच्चय का संवरक है।"
cluster of stars ,तारा-गुच्छ,"
ऐसे तारों का समूह जो आकाश में एक स्थान पर सटे हुए दिखाई देते हैं और जिनके बारे में उनकी निजी गति आदि के आधार पर यह प्रमाण प्राप्त है कि वे एक ही तारा-तंत्र के सदस्य हैं। जैसे कृत्तिका, हियादीस आदि और अन्य अनेक गुच्छ जो दूरबीन से देखे जा सकते हैं।"
cluster sampling ,गुच्छ प्रतिचयन,"
जब समष्टि में आधारी प्रतिचयन- एकक समूहों अथवा गुच्छों में हो तो कभी-कभी गुच्छों का एक प्रतिदर्श लेकर तथा वरण किए गए प्रत्येक गुच्छ के सभी सदस्यों का प्रेक्षण करके प्रतिचयन किया जाता है। इस प्रतिचयन को गुच्छ प्रतिचयन कहा जाता है।"
cluster variable star ,गुच्छ चरकांति तारा,"
तारों के किसी गुच्छ के अंतर्गत कोई चरकांतितारा। दे. variable star."
coaxial circles ,समाक्ष वृत्त,"
ऐसे वृत्त जिनमें से किन्हीं दो का मूलाक्ष किसी भी अन्य जोड़े के मूलाक्ष से अभिन्न हो।"
Cochran's test ,कॉकरन-परीक्षण,"
प्रसरण के स्वतंत्र आकलों के किसी समुच्चय की समांगता को जांचने में प्रयुक्त एक परीक्षण। यदि x,i= 1........n तथा एक यादृच्छिक प्रतिदर्श है जो माध्य तथा प्रसरण के प्रसामान्य बंटन से लिया गया हो तो 𝛴(xi -X)^2/𝜎^2 *𝛹^2 की तरह वितरित होगा जबकि n-1 स्वातंत्र्य कोटि है तथा x प्रतिदर्श का माध्य है।"
code ,1. संकेत : 2. कूट :,"
1. संकेत : सार्थक संचरण के लिए प्रयुक्त प्रतीक अथवा प्रतीकों का एक निकाय।
2. कूट : किसी अभिकलित्र या सरणीयन-यंत्र में आंकड़ों, प्रतीकों अथवा अनुदेशों को निरूपित करने के लिए प्रयुक्त प्रतीक अथवा प्रतीकों का कोई निकाय।"
coding ,कूटलेखन,"

स्वचालित अभिकलन में प्रोग्रामकर्ता के अनुदेशोंऔर प्रवाह सचित्रों (flow charts) से ऐसे क्रमादेशों की विस्तृत रूप से तैयारी जिनकी सहायता से विचाराधीन समस्याओं का हल प्राप्त हो जाए।"
coefficient ,गुणांक,"
1. गुणनफल के रूप में व्यक्त किसी पद के अंतर्गतकिसी गुणनखंड के गुणक के रूप में मानी गई संख्या अथवा राशि, जैसे 2z, az, z(b+c), 7xyz में क्रमशः 2, a, b + c और 7xy गुणनखंड z के गुणांक
हैं। बीजीय समीकरणों में आने वाली अचर राशियों को चरों के गुणांक कहते हैं।
2. किसी पदार्थ के किसी गुणधर्म या किसी प्रक्रमअथवा युक्ति की किसी विशेषता के माप के रूप मेंस्वीकृत कोई राशि जो प्रायः अभिकलनों में गुणकों के रूप में अथवा सांख्यिकीय प्राचलों के रूप में मानी गई संख्या अथवा राशि, जैसे 2z, az, z(b++c), 7xyz में क्रमशः 2,a,b + c और 7xy गुणनखंड z के  गुणांक हैं। बीजीय समीकरणों में आने वाली अचर राशियों को चरों के गुणांक कहते हैं।
3. किसी पदार्थ के किसी गुणधर्म या किसी प्रक्रम अथवा युक्ति की किसी विशेषता के माप के रूप में स्वीकृत कोई राशि जो प्रायः अभिकलनों में गुणकों के रूप में अथवा सांख्यिकीय प्राचलों के रूप में
प्रयुक्त होते हैं। जैसे, सहसंबंध गुणांक, घर्षण-गुणांक आदि।"
coefficient of association ,साहचर्य गुणांक,"
दो गुणों के बीच की साहचर्य मात्रा का माप। निम्नलिखित साहचर्य सारणी में साहचर्य गुणांक Q= ad-bc/ad+bc हैं।
| गुण A | गुण A का योग अभाव |  
| गुण B | a | b quada+b |  
| गुण B का अभाव | c | d c+d |  
योग a+c   b+d   N"
coefficient of correlation ,सहसंबंध गुणांक,"
संख्याओं (x1,x2,.....,xn) तथा (y1,y2, .......yn) के दो
समुच्चयों के लिए सहसंबंध गुणांक
r= n𝛴i=1 (xi - x) (yi -y)/  √n𝛴i=1 (xi - x) (yi - Y) द्वारा परिभाषित किया जाता है। यहां x और y दोनों समुच्चयों के समांतर माध्य है। इसका मान - 1 तथा +1 के बीच होता है।"
coefficient of regression ,समाश्रयण-गुणांक,"
समाश्रयण- समीकरण में किसी स्वतंत्र चर का गुणांक ।"
coefficient of  restitution, प्रत्यवस्थान-गुणांक,"
दो प्रत्यास्थ पिंडों के संदर्भ में टकराव के बाद दोनों पिंडों के अलग होने के सापेक्ष वेग से टकराव के पहले के उनके सापेक्ष वेग का अनुपात ।"
coelostat ,"1.तारास्थापी,2. सीलोस्टैट","
एक खगोलिकीय यंत्र जिसका प्रयोग किसी खगोलीय पिंड से आने वाले प्रकाश को सदैव एक नियत दिशा में भेजने के लिए किया जाता है। इसके मुख्य भाग पृथ्वी के समांतर रहने वाला और पृथ्वी के घूर्णन के साथ-साथ घूमने वाला एक दर्पण और एक दूसरा अचल दर्पण है।"
co-factor ,सहखंड,"
सारणिक के किसी अवयव का सचिन्ह उपसारणिक। यदि अवयव की पंक्ति-क्रम संख्या और स्तंभ-क्रमसंख्या का जोड़ सम है तो चिन्ह धन होगा और विषम है तो चिन्ह ऋण होगा। उदाहरणार्थः सारणी"
