Abelian group,आबेली समूह,आबेल गट
logarithmic spiral (equiangular spiral),"लॉगेरिथ्मीय सर्पिल, लघुगणकीय सर्पिल",लॉगरिथमीय सर्पिल
logarithmic table (=log table),"लॉगेरिथ्मीय सारणी, लघुगणकीय सारणी",लॉगरिथमीय कोष्टक
logarithm (log),"लॉगेरिथ्म, लघुगणक",लॉगरिथम
logic,तर्क,"तर्क, तर्कशास्त्र"
logically equivalent,तर्कत: तुल्य,"तर्कत: समतुल्य, तर्कत: बरोबरीचा"
logistic curve,"वृद्धिघात वक्र, पर्ल-रीड वक्र",व्यूहवक्र
lognormal distribution,"लघुगणक प्रसामान्य बंटन, लॉग प्रसामान्य बंटन",लॉगरिथमीय-सामान्य वितरण
longitude,1. रेखांश 2. देशांतर,"रेखांश, रेखावृत्त"
loop,"1. पाश, ल्रूप, फंदा (सं.) पाशन (क्रि.) 2. प्रस्पंद","वळसा, लूप"
lottery,"1. प्रचयन 2. प्रचायिका, लॉटरी","लॉटरी, सोडत"
lower bar,अधोरेखा,खालची मर्यादा
lower bound,निम्न परिबंध,अवबंध
lower Riemann integral,निम्न रीमान-समाकल,निम्न रीमन समाकल
lower sum,निम्न योगफल,निम्न बेरीज
lower triangular matrix,निम्न त्रिभुजीय आव्यूह,निम्न त्रिकोणी सारणी
Maclaurin's expansion,मैक्लारिन प्रसार,मॅकलॉरिन विस्तार
magic number,"माया संख्या , मैजिक संख्या , स्थायित्व संख्या","कूट अंक, गूढांक, स्थायित्व अंक"
magic square,मैजिक वर्ग,कूट चौरस
magnitude limit (=limiting magnitude),कांतिमान-सीमा,परिमाण सीमा
mailed questionnaire,डाक प्रेषित प्रश्नावली,टपाली प्रश्नावली
mail survey,डाक द्वारा सर्वेक्षण,टपाली सर्वेक्षण
majorant (upper bound),उपरि परिबंध,ऊर्ध्वबंध
major arc,दीर्घ चाप,विशालकंस
majorised set,उपरिबद्‌ध समुच्चय,ऊर्ध्वबंधित संच
many valued function,बहुमान फलन,बहुमूल्य फल
map,"नक्शा , मानचित्र , प्रतिचित्र","नकाशा, प्रतिचित्र , मानचित्र , फल"
map into the set,समुच्चय में प्रतिचित्रित करना,संचात फलन
mapping of a set,समुच्चय का प्रतिचित्रण,संच प्रतिचित्रण
marginal probability,उपांत प्रायिकता,"उपांत संभाव्यता, समासी संभाव्यता"
mathematical analysis,गणितीय विश्लेषण,गणितीय विश्लेषण
mathematical argument,गणितीय तर्क,"गणितीय युक्तीवाद, गणितीय कारणमीमांसा"
mathematical centre,गणितीय केंद्र,गणितीय केंद्र
mathematical complexity,गणितीय जटिलता,गणितीय जटिलता
mathematical economics,गणितीय अर्थशास्त्र,गणितीय अर्थशास्त्र
mathematical expectation,गणितीय प्रत्याशा,गणितीय अपेक्षा
mathematical form,गणितीय रूप,"गणितीय नमुना, गणितीय आकृति"
mathematical formulation,"गणितीय संरूपण, गणितीय संरूप","गणितीय मांडणी, गणितीय सूत्रीकरण"
mathematical identity,गणितीय सर्वसमिका,"गणितीय अविकारक,गणितीय नित्यसमीकरण"
mathematical logic,"गणितीय तर्कशास्त्र ,गणितीय तर्क","गणितीय तर्कशास्त्र , गणितीय युक्तिवाद, गणितीय तार्किकता"
mathematical model,गणितीय निदर्श,"गणितीय प्रतिमान, गणितीय प्रतिरूप"
mathematical notion,गणितीय आशय,"गणितीय संकल्पना, गणितीय कल्पना"
matrix digonalisation,मैट्रिक्स विकर्णन,सारणी विकर्णन
matrix inverse,आव्यूह-व्युत्क्रम,"सारणी प्रतिलोम,सारणी व्यस्त"
matrix inversion,आव्यूह-व्युत्क्रमण,"सारणी व्युत्क्रमण, सारणी प्रतिलोमन"
matrix iterative method,आव्यूह पुनरावर्ती विधि,सारणी पुनरावृत्ति पद्‌धती
matrix method,मैट्रिक्स पद्‌धति,सारणी पद्‌धती
matrix multiplication,आव्यूह गुणन,"सारणी गुणन, सारणी गुणाकार"
matrix of constants,अचरों का आव्यूह,स्थिरांक सारणी
matrix of effectiveness,प्रभाविता आव्यूह,परिणामकारता
matrix operator,आव्यूह संकारक,"सारणी कारक, सारणी परिकर्मी"
matrix polynomial,आव्यूह बहुपद,सारणी बहुपदी
matrix printing,आव्यूह मुद्रण,सारणी मृद्रण
matrix product,आव्यूह-गुणनफल,सारणीचा गुणाकार
maximized,अधिकतमीकृत,"जास्तीत जास्त, महत्तमीकरण"
maximum,"महत्तम, अधिकतम, उच्चतम",महत्तम
maximum absolute value,अधिकतम निरपेक्ष मान,"महत्तम केवल मूल्य, कमाल निरपेक्ष मूल्य"
maximum F-ratio,महत्तम F-अनुपात,"महत्तम F-गुणोत्तर, कमाल F-गुणोत्तर"
maximum likelihood,अधिकतम संभाविता,महत्तम संभव
maxmin,महाल्पिष्ठ,किमान-कमाल
maxmin criterian,महाल्पिष्ठ निकष,किमान-कमाल निकष
max of a function,फलन का अधिकतम,फलाचा महत्तम
Maxwell-Boltzmann statistics,मैक्सवेल-बोल्ट्समान सांख्यिकी,मॅक्सवल-बोल्ड्समन सांख्यिकी
mean deviation,माध्य विचलन,विचलन मध्य
mean square deviation,विचलन वर्ग माध्य,वर्ग मध्य विचलन
mean square error,वर्ग माध्य त्रुटि,"वर्गसरासरी त्रुटी, वर्गमध्य त्रुटी"
mean value,"माध्यमान, औसत मान",मध्य मूल्य
mean value theorem,माध्यमान प्रमेय,मध्य मूल्य सिद्‌धांत
measure of kurtosis,ककुदता माप,वक्रतामात्रा माप
median,"1. मध्य, मध्यस्थ 2. माध्यिका, मीडियन","मध्यक, मध्यगा, मध्यांक"
median centre,माध्यिका केंद्र,"मध्यक केंद्र, मध्यांक केंद्र"
mesokurtic curve,मध्यककुदी वक्र,मध्यवशिंडी वक्र
mesokurtosis,मध्यककुदता,"मध्यवशिंडता, सामान्य ककुडता"
message,संदेश,"निरोप, मजकूर, संदेश, बातमी"
method,"रीति , विधि","कार्यपद्‌धती, कार्यप्रणाली, कार्यविधि, रीत, पद्‌धती"
method of elimination,विलोपन विधि,"विलोपन पद्‌धती, निरास पद्‌धती"
method of inversion,प्रतिलोमन-विधि,"प्रतिलोमन पद्‌धती, व्युत्क्रमण पद्‌धती"
method of iteration,पुऩरावृत्ति विधि,पुनरावृत्ति पद्‌धती
method of least squares,न्यूनतम वर्ग विधि,किमान-वर्ग पद्‌धती
method of moments,आघूर्ण विधि,"आघूर्ण पद्‌धती, परिबल पद्‌धती"
method of similar triangles,समरूप त्रिभुज विधि,समरूप त्रिकोण पद्‌धती
method of steepest descent,प्रवणतम अवरोहण विधि,महत्तम उतरण पद्‌धती
method of summation,संकलन-विधि,"संकलन पद्‌धती, योग पद्‌धती"
method of undetermined coefficient,अनिर्घारित गुणांक विधि,अनिर्धारित गुणांक पद्‌धती
metric space,दूरीक समष्टि,दुरीक अवकाश
metric system,मीटरी पद्‌धति,"मेट्रिक प्रणाली, दुरिक प्रणाली"
metric unit,मेट्रिक इकाई,"मेट्रिक एकक, दुरिक एकक"
micro theory,सूक्ष्म सिद्‌धांत,सूक्ष्म सिद्‌धांत
middle,मध्य,"मध्यभाग, मध्य, मध्यम"
middle term,मध्यपद,मध्यपद
mid point,मध्य बिंदु,मध्यबिंदू
mid point formula,मध्यबिंदु सूत्र,मध्यबिंदू सूत्र
minimal polynomial,अल्पिष्ठ बहुपद,"निम्निष्ठ बहुपदी, लघुतम बहुपदी"
minimax principle,अल्पमहिष्ठ सिद्‌धांत,किमानकमाल तत्व
minimum,"न्यूनतम, अल्पतम, निम्नतम","लघुतम, न्यूनतम, लघुतम, नीचतम"
minimum point (of curve),निम्निष्ठ बिंदु,"निम्नि्ष्ठ बिंदू ,नीचतम बिंदू"
minimum polynomial,अल्पतम बहुपद,"किमान बहुपदी, लघुतम बहुपदी"
min of a function,फलन का न्यूनतम,फलांची न्यूनतम किंमत
minor arc,लघु चाप,"लघु चाप, छोटा कंरु"
minor axis,लघु अक्षष,लघु अक्षष
minorised subset,निम्न परिबद्‌ध उपसमुच्चय,वगळलेला उपगट
minus,"माइनस, ऋण","त्रपृण, वजा, उणे"
minus sign,ऋण चिह्न,"वजा चिन्ह, ऋण चिन्ह"
mixed fraction,मिश्र भिन्न,संमिश्र अपूर्णांक
mixed strategy,सविकल्प युक्ति,संमिश्र डावपेच
mode,"1. बहुलक, मोड 2. विधि, रीति ,प्रणाली, विधा",बहुलक
modulus,"मापांक, मोड्यूलस","मापांक, केवल मूल्य"
modulus of a complex number,सम्मिश्र संख्या का मापांक,साम्मिश्र संख्याचे मापांक
moment,आघूर्ण,"आघूर्ण, परिबल"
moment generating function,आघूर्णजनक फलन,"परिबल जनक फल, परिबल जनक फलन"
moment of a force,बल का आघूर्ण,"परिबल, बल आघुर्ण"
moment of frequency distribution,बारंबारता-बंटन का आघूर्ण,वारंवारिता वितरण परिबल
moment of inertia,जड़त्व आघूर्ण,"जडत्व आघूर्ण, जडत्व परिबल"
moment of momentum,संवेग आघूर्ण,"संवेग आघूर्ण, संवेग परिबल"
momentum,संवेग,"चालना, संवेग"
monomial,एकपद,एकपदी
monomorphic,एकैक समाकारी,एकरूपी
monomorphism,"एकरूपता, एकैक समाकारिता",एकरूपता
monotone,एकदिष्ट,"एकस्वन, एकसुरी"
monotone increasing sequence,एकदिष्ट वर्धमान अनुक्रम,एकस्वन वर्धमान क्रमिका
monotonically,एकदिष्टतः,एकस्वनिक
monotonically increasing net,एकदिष्टतः वर्धमान जाल,एकस्वनिक वर्धमान जाळे
monotonically increasing sequence,एकदिष्टतः वर्धमान अनुक्रम,एकस्वनिक वर्धमान क्रमिका
monotonic function,एकदिष्ट फलन,एकस्वनिक फल
Monte Carlo calculation,मॉन्टे-कार्लो परिकलन,मॉन्टे-कार्लो परिगणना
Monte Carlo method,मॉन्टे-कार्लो विधि,मॉन्टे-कार्लो पद्‌धती
morra (game),मोरा (खेल),मोराखेळ
mortality statistics,मृत्यु आंकड़े,"मृत्युदर सांख्यिकी, मर्त्य ता आकडेवारी, मृत्युप्रमाण सांख्यिकी माहिती"
most probable,प्रायिकतम,"बहुतेक, जास्त संभाव्य"
motion,गति,"गति , गतिमानता, चलन"
moving average,गतिमान माध्य,"गतिमान सरासरी, सरकता मध्य"
M-space,M-समष्टि,M-अवकाश
M-test for integral,समाकल का M-परीक्षण,समाकल M-कसोटी
multidecision problem,बहुगत निर्णय-समस्या,"बहुनिर्णायक प्रश्न , बहुनिर्णायक समस्या"
multidimensional normal distribution,बहुविम प्रसामान्य बंटन,बहुमितीय प्रसामान्य वितरण
multidimensional random variable,बहुविम यादृच्छिक चर,बहुमित यादृच्छिक चल
multi-index transportation problem,बहुसूचक परिवहन समस्या,बहुसूची परिवहन प्रश्न
multinomial,बहुपद,अनेकपदी
multinomial distribution,बहुपद बंटन,अनेकपदी वितरण
multiple,"गुणित, बहुगुण, बहु, बहुत (वि.), गुणज, अपवर्त्य (सं.)","गुणित, पट, एकाधिक"
multiple choice problem,बहुविकल्पी समस्या,बहुपर्यायी प्रश्न
multiple connected domain,बहुसंबद्‌धित प्रांत,बहु संबंधी अधिक्षेत्र
multiple correlation,बहु सहसंबंध,एकाधिक सहसंबंध
multiple frequency table,बहु-बारंबारता सारणी,एकाधिक वारंवारता तक्ता
multiple integral,बहु समाकल,एकाधिक समाकल
multiple integration,बहु समाकलन,एकाधिक समाकलन
multiple regression,बहु समाश्रयण,एकाधिक समाश्रयन
multiple regression analysis,बहुसमाश्रयण विश्लेषण,एकाधिक समाश्रयन विश्लेषण
multiple regression coefficient,बहुसमाश्रयण गुणांक,एकाधिक समाश्रयन गुणांक
multiple regression equation,बहुसमाश्रयण समीकरण,एकाधिक समाश्रयन समीकरण
multiple root,बहु मूल,पुनरावृत्त मूळ
multiplication,गुणन,"गुणाकार, गुणन"
multiplication by columns (of determinant),(सारणिक का) स्तंभशः गुणन,स्तंभानुसार गुणाकार
multiplication by rows (of determinant),(सारणिक का) पंक्तिशः गुणन,ओळीनुसार गुणाकार
multiplication factor,गुणन कारक,गुणन अवयव
multiplicative function,गुणनात्मक फलन,गुणनक्षम फल
multiplicative group,गुणनात्मक समूह,गुणनक्षम गट
multiplicative inverse,गुणनात्मक प्रतिलोम,गुणाकार व्यस्त
multiplicity,बहुकता,"गुणितता, बहुगुणनत्व"
multiplicity of roots,मूल-बहुकता,मुळांची गुणितता
multiplicity of zero,शून्यक की बहुकता,शुन्यांची गुणितता
multiplier,गुणक,"गुणक, गुणकपद"
multiply,1. गुणा करना 2. संवर्धन,"गुणणे, गुणित होणे, पटीने वाढवणे"
multivariate distribution,बहुचर बंटन,बहुचल वितरण
multivariate normal distribution,बहुचर प्रसामान्य बंटन,बहुचल प्रसामान्य वितरण
multivariate population,बहुचर समष्टि,बहुचल समूह
mutual,"पारस्परिक, अन्योन्य","परस्पर, अन्योन्य"
nabla,नाब्ला,नॅब्ला
Napierian,नैपिरीय,नेपिअरन
Napierian logarithm,"नैपिरीय लघुगणक, नैपिरीय लॉगेरिथ्म",नॉपिअरी लॉगॅरिथम
natural logarithm,"प्राकृतिक लघुगणक,प्राकृतिक लॉगेरिथ्म",नैसर्गिक लॉगॅरिथम
natural number,"धन पूर्णसंख्या , धन पूर्णांक",नैसर्गिक संख्या
nautical mile,समुद्री मील,सागरी मैल
n-dimensional,n-विम,n-मितीय
n-dimensional vector space,n-विम सदिश-समष्टि,n-मितीय सदिश अवकाश
necessary and sufficient condition,आवश्यक तथा पर्याप्त प्रतिबंध,आवश्यक-पुरेशी अट
necessary condition,आवश्यक प्रतिबंध,आवश्यक अट
negation,निषेध,नकार
negative,"1. ऋण, ऋणात्मक 2. नेगेटिव",ऋण
negative curvature,ऋण वक्रता,ऋण वक्रता
negative definite form,ऋणात्मक निश्चित समघात,ऋणात्मक निश्चित रूप
negative definite matrix,ऋणात्मक निश्चित् आव्यूह,ऋणात्मक निश्चित सारणी
negative semi-definite form,ऋणात्मक अर्धनिश्चित समघात,ऋणात्मक अर्धनिश्चित रूप
neighbourhood,1. प्रतिवेश 2. सामीप्य,1. प्रतिवेश 2. सामीप्य
nested sampling,1. बहुक्रम प्रतिचयन 2. समावेशी प्रतिचयन,कोटरित नमुनानिवड
net reproduction rate,नेट जनन दर,निव्वळ प्रजनन दर
Newtonian mechanics,न्यूटनी यांत्रिकी,न्यूटनी यंत्रशास्त्र
Newton's divided difference formula,न्यूटन का विभाजित अंतर सूत्र,न्यूटनी विभागित फरक सूत्र
Newton's laws of motion,न्यूटन के गति-नियम,न्यूटनी गति विषयक नियम
Neyman allocation,नेमेन नियतन,नेमन वाटप
Neyman Pearson theory,नेमेन-पियर्सन-सिद्‌धांत,नेमन पिअरसन सिद्‌धांत
nilpotent element,शून्यंभावी अवयव,शून्यंभावी घटक
nilpotent matrix,शून्यंभावी आव्यूह,शून्यंभावी सारणी
node,"1. नोड, आसंधि 2. पात 3. निर्नति 4. निस्पंद",गाठबिंदू
non-Abelian group,अन-आबेली ग्रुप,अन-आबेल गट
non-absolute convergence,सापेक्षष अभिसरण,अनिरपेक्ष अभिसरण
non-algebraic,अबीजीय,अबैजीक
non-degenerate,अनपभ्रष्ट,"अपननीय, अनअध:पतनीय"
non-degenerate basic feasible solution,अनपभ्रष्ट आधारी सुसंगत हल,अनअध:पतनीय पायाभूत उचित उकल
non-dense,अघन,अघन
non-dense set,अघन समुच्चय,अघन संच
non-denumerable infinity of points,बिंदुओं का अगणनीय अनंत,अगणनीय अनंत बिंदू
non-denumerable set,अगणनीय समुच्चय,अगणनीय संच
non-differentiable,अनवकलनीय,अविकलनीय
non empty subset,अरिक्त उपसमुच्चय,अरिक्त उपसंच
non-Euclidean geometry,अयूक्लिडी ज्यामिति,अन-युक्लिडी भूमिती
non-homogeneous,1. असमांगी 2. असमघात,"भिन्नघाती, नैकविध"
non-intersecting,अप्रतिच्छेदी,अच्छेदनीय
non-linear algebraic equation,अरैखिक बीजीय समीकरण,अरेषीय बैजीक समीकरण
non-linear differential equation,अरैखिक अवकल समीकरण,अरेषीय विकलन समीकरण
non-linear equation,अरैखिक समीकरण,अरेषीय समीकरण
non-linear programming,अरैखिक प्रोग्रामन,अरेषीय प्रयोजन
non-linear regression,अरैखिक समाश्रयण,अरेषीय प्रतिगमन
non-linear relationship,अरैखिक संबंध,अरेषीय संबंध
non-negative integer,"ऋणेतर पूर्णसंख्या , ऋणेतर पूर्णांक",ऋणेतर पूर्णांक
non-negative variable,ऋणेतर चर,ऋणेतर चल
non-parametric test,अप्राचलिक परीक्षण,अप्राचलिक चाचणी
non-probabilistic approach,प्रायिकतेतर दृष्टिकोण,असंभाव्यता दृष्टिकोन
non-singular matrix,व्युत्क्रमणीय आव्यूह,प्रतिलोमी सारणी
non-symmetric matrix,असममित आव्यूह,असमरूप सारणी
non-trivial,अतुच्छ,अनयःकश्चित
non-vanishing determinant,शून्येतर सारणिक,अशून्यगामी निर्धारक
non-void,अरिक्त,अरिक्त
non-void subset,अरिक्त उपसमुच्चय,अरिक्त उपसंच
non-zero determinant,शून्येतर सारणिक,शून्येतर निर्धारक
NOR gate,अथवा पूरक द्वार,नॉर गेट
normal,"1. प्रसामान्य 2. प्राकृतिक 3. मानक 4. सामान्य, साधारण 5. अभिलंब 6. नॉर्मल","प्रलंब, सामान्य"
normal acceleration,अभिलंब त्वरण,"सामान्य त्वरण, प्रलंब त्वरण"
normal angle,अभिलंब कोण,"सामान्य कोन, प्रलंब कोन"
normal curve,प्रसामान्य वक्र,"सामान्य वक्र, प्रलेबी वक्र"
normal density function,प्रसामान्य घनत्व फलन,"सामान्य घनता फल, प्रलंब घनता फल"
normal distribution,प्रसामान्य बंटन,सामान्य वितरण
normal distribution function,प्रसामन्य बंटन फलन,सामान्य वितरण फल
normal form for the matrix,आव्यूह का प्रसामान्य रूप,सारणी सामान्य रूप
normal frequency,प्रसामान्य बारंबारता,सामान्य वारंवारता
normalized curve,प्रसामान्यीकृत वक्र,सामान्यीकृत वक्र
normalized floating point number,प्रसामान्यीकृत चलबिंदु संख्या,सामान्यी कृत प्रवाही बिंदू संख्या
normalizer,प्रसामान्यक,सामान्यक
normal matrix,प्रसामान्य आव्यूह,सामान्य सारणी
normal probability curve,प्रसामान्य प्रायिकता वक्र,सामान्य संभ्यावता वक्र
normal probability distribution,प्रसामान्य प्रायिकता बंटन,सामान्य संभ्यावता वितरण
normal subgroup (=distinguished subgroup),"प्रसामान्य उपसमूह, विशिष्ट उपसमूह",सामान्य उपगट
normed linear space,मानकित रैखिक समष्टि,मानकित रेषीय अवकाश
norm of a vector,सदिश मानक,सदिश मानक
NOT gate,"NOT गेट, न गेट",NOT गेट
nowhere dense set,नकुत्रापि सघन समुच्चय,विरल संच
null hypothesis,निराकरणीय परिकल्पना,"मूळ गृहीतक, मूळ परिकल्पना, शून्यता परिकल्पना"
null matrix,शून्य आव्यूह,शून्य सारणी
null set,रिक्त समुच्चय,रिक्त संच
null vector,शून्य सदिश,शून्य सदिश
number,संख्या,संख्या
number axis,संख्या अक्ष,संख्या अक्ष
number system,संख्या पद्‌धति,संख्या प्रणाली
numeral,1. संख्यांक (सं.) 2. संख्यात्मक (वि.),संख्यांक
numeration,"संख्यान, संख्या देना", संख्यांकन
numerator,अंश,अंश
numerical coefficient,संख्यात्मक गुणांक,संख्यात्मक गुणकांक
numerical computation,संख्यात्मक अभिकलन,संख्यात्मक संगणन
numerical differentiation,संख्यात्मक अवकलन,संख्यात्मक विकलन
numerical method,संख्यात्मक विधि,संख्यात्मक पद्‌धती
n-vector,"n-सदिश , n-वेक्टर",n-सदिश
n-vector space,n-सदिश समष्टि,n-सदिश अवकाश
object,1. वस्तु 2. पिडं 3. बिबं,"उद्‌देश, पदार्थ, लक्ष्य,वस्तु, विषय, हेतु"
objective function,उद्‌देश्य फलन,उद्‌दिष्ट फल
oblique,"तिर्यक, तिरछा",तिर्यक
oblique asymptote,तिर्यक अनंतस्पर्शी,"तिर्यक अनंतस्पर्शिका, तिर्यक अनंतोपगा"
oblique axis,तिर्यक अक्ष,तिर्यक अक्ष
oblique section,"तिर्यक परिच्छेद , तिरछी काट",तिर्यक छेद
observation,प्रेक्षण,"अवलोकन, निरीक्षण"
observed frequency,प्रेक्षित बारंबारता,अवलोकित वारंवारता
obtuse angle,अधिक कोण,विशालकोन
octagon,अष्टभुज,अष्टभुज
octahedron,अष्टफलक,अष्टफलक
octal system,अष्टाधारी पद्‌धति,"अष्टक पद्‌धती, अष्टमान पद्‌धती"
octant,अष्टांशक ,अष्टक
odd,विषम,विषम
odd curve,विषम वक्र,विषम वक्र
odd number,विषम संख्या,विषम संख्या
odd permutation,विषम क्रमचय,विषम क्रमचयन
odd polynomial,विषम बहुपद,विषम बहुपदी
ogive,1. ओजाइव 2. तोरण,संचयी वारंवारता वक्र
one to one correspondence,एकैकी संगति,एकास-एक संगती
one to one function,एकैकी फलन,एकास-एक फल
one to one map,एकैकी प्रतिचित्र,"एकास-एक प्रतिचित्र ,एकास-एक फल"
one-way classification,एकधा वर्गीकरण,एकतरफी वर्गीकरण
onto map,आच्छादक प्रतिचित्र,"आच्छदित प्रतिचित्र , आच्छदित फल"
open,"खुला, विवृत (वि.)",विवृत
open ball,विवृत गोलक,विवृत गोळक
open interval,विवृत अंतराल,विवृत अंतराल
open ray,विवृत अर्धरेखा,विवृत किरण
open set,विवृत समुच्चय,विवृत संच
operation,प्रचालन,"संक्रिया, प्रचालन"
operational research,संक्रिया विज्ञान,संक्रियात्मक संशोधन
operations research,संक्रिया विज्ञान,संक्रिया संशोधन
operator,"1. प्रचालक, ऑपरेटर 2. संकारक","परिकर्मी , प्रचालक"
opposite angle,सम्मुख कोण,"संमुख कोन, विरुद्‌ध कोन"
opposite event,विपरीत घटना,विरुद्‌ध घटना
optimal basic feasible solution,इष्टतम आधारी सुसंगत हल,इष्टतम पायाभूत उचित उकल
optimal condition,इष्टतम अवस्था,इष्टतम अट
optimal lot size,इष्टतम प्रचय आमाप,इष्टतम आकार
optimal value,इष्टतम मान,इष्टतम मूल्य
optimum,"अनुकूलतम, इष्टतम",इष्टमान
orbit,कक्षा,कक्षा
order,1. क्रम 2. कोटि 3. घात 4. मूलांक 5. समूहांक,"क्रम, कोटी"
ordered pair,क्रमित युग्म,"क्रमित युग्म, क्रमित जोडी"
ordered set,"क्रमित समुच्चय, क्रमित सेट",क्रमित संच
ordering,"क्रमण, क्रमीकरण",क्रमरचना
order of a determinant,"सारणिक की कोटि , डिटर्मिनेन्ट की कोटि",सारणीक-कोटी
order of a group,समूह की कोटि,गट-कोटी
order of a matrix,आव्यूह की कोटि,सारणी-कोटी
order of an element in a group,समूह में अवयव की कोटि,गट-घटक कोटी
order of differential equation,अवकल समीकरण की कोटि,विकलसमीकरण कोटी
order of operation,संक्रिया क्रम,क्रिया-क्रम
order of zero,शून्यक कोटि,शून्य-कोटी
ordinal number,क्रमसूचक संख्या,क्रमसूचक अंक
ordinary differential equation,साधारण अवकल समीकरण,सामान्य अवकल समीकरण
ordinate,कोटि,"कोटी, क्षितिजलेब"
oreintability,अभिविन्यसनीयता,अभिमुखनीयता
orientation,दिकविन्यास,अभिमुखता
orientation of surface,पृष्ठ का अभिविन्यास,पृष्ठभाग-अभिमुखता
origin,"उद्‌गम, उद्‌भव, उत्पत्ति","प्रारंभ, मूळ, उगम"
origin of coordinates,निर्देश -मूल-बिंदु,निर्देशक-प्रारंभ
orthocentre,लबं केंद्र,लंबसंपात बिंदू
orthogonal,"लंब कोणीय, लांबिक",लंबित
orthogonal axes,लंबकोणिक अक्ष,लंबित अक्ष
orthogonal family,लांबिक परिवार,लंबित परिवार
orthogonal group,"लांबिक समूह, लांबिक गुप",लंबित गट
orthogonality condition,लंबकोणीयता शर्त,लंबत्नीयता अट
orthogonalization,लांबिकीकरण,लंबत्नीकरण
orthogonal matrix,लांबिक आव्यूह,लंबित सारणी
orthonormal,"ऑर्थोनॉर्मल, प्रसामान्य लांबिक",लंबप्रमाणित
orthonormal basis,प्रसामान्य लांबिक आधार,लंबप्रमाणित पायाधार
oscillation,दोलन,दोलन
oscillation of a function,फलन का दोलन,फल-दोलन
oscillatory function,दोलनी फलन,दोलनी फल
osculating,आश्लेषी,अधिस्पर्शी
outer product,बाह्य गुणनफल,बाहयगुणाकार
output,"निर्गत, निर्गम, उत्पादन,बहिर्वेश","निष्पत्ति , फलित, निष्कर्ष"
overdetermined system,अतिनिर्धारित निकाय,अतिनिर्धारित प्रणाली
paired comparision,युगलित तुलना,युग्मित तुलना
pairwise disjoint,युगलतः असंयुक्त,जोडीनिहाय विभक्त
pairwise independent,युगलतः स्वतंत्र,जोडीनिहाय निरवलंबित
parallel forces,समांतर बल ,समांतर बल
parallelogram,समांतर चतुर्भुज,समांतरभुजचौकोन
parallelogram of forces,बल-समांतर चतुर्भुज,बल-समांतरभुजचौकोन
parallelogram of velocities,वेग-समांतर चतुर्भुज,वेग-समांतरभुजचौकोन
parallelopiped,समांतर षट्फलक,संमातरभुज चिती
parameter,"1. प्राचल 2. अंतःखंडी अनुपात, पैरामीटर",प्रचल
parameter free (=nonparametric),अप्राचलिक,अप्रचलिक
parameter of distribution,बंटन-प्राचल,वितरण प्रचल
parametric,प्राचलिक,प्रचलिक
parametric coordinate,प्राचलि क निर्देशांक,प्रचलि क निर्देशक
parametric curve,प्राचलिक वक्र,प्रचलिक वक्र
parametric equation,प्राचलिक समीकरण,प्रचलिक समीकरण
parametric linear programming,प्राचलिक रैखि क प्रोग्रामन,प्रचलिक रेषीय प्रयोजन
parametric method,प्राचल विधि,प्रचलिक पद्‌धती
parametric objective function,प्राचलिक उद्‌देश्य फलन,प्रचलिक उद्‌देश्य फल
parametric programming,प्राचलिक प्रोग्रामन,प्रचलिक प्रायोजन
parametric representation,प्राचलिक निरूपण,प्रचलिक प्रतिरूपण
parametrization,प्राचलीकरण,प्रचलीकरण
parenthesis,"कोष्ठक, बंधनी",गोलकंस
parenthesis notation,कोष्ठक चिह्न,गोलकंस चिन्ह
parent population,मूल समष्टि,"मुळ समष्टी , मुळ खानेसुमारी"
Pareto curve,पैरेटो-वक्र,परेटोवक्र
parity check,समता जांच,सममोल परिक्षण
partial confounding,आंशिक संकरण,आंशिक संभृमित
partial correlation,आंशिक सहसंबंध,आंशिक सहसंबंध
partial derivative,आंशिक अवकलज,आंशिक विकलज
partial differential equation,आंशिक अवकल समीकरण,आंशिक विकल समीकरण
partial differentiation,आंशिक अवकलन,आंशिक विकलन
partial fraction,आंशिक भिन्न,आंशिक अपूर्णांक
partial integration,आंशिक समाकलन,आंशिक समाकलन
partially ordered,अंशतः क्रमित,अंशत: क्रमित
partially ordered set,अंशतः क्रमित समुच्चय,अंशत: क्रमित संच
partial order,आंशिक क्रम,आंशिक क्रम
partial regression coefficient,आंशिक समाश्रयण गुणांक,आंशिक प्रतिगमन गुणांक
partial sum,आंशिक योगफल,आंशिक बेरीज
particle,कण,कण
particular case,विशिष्ट स्थिति,विशिष्ट बाब
particular integral,विशेष समाकल,विशिष्ट समाकल
particular solution,विशेष हल,विशिष्ट उकल
partition,"विभाजन, वितरण",विभाजन
partitioning of matrices,आव्यूहों का विभाजन,सारणी-विभाजन
partition value,विभागकारी मान,विभाजन मूल्य
Pascal triangle,पास्कल त्रिभुज,पास्कल त्रिकोण
pattern,"चित्राम, प्रति मान, प्रति रूप, पैटर्न",आकृतिबंध
pattern function,प्रति रूप फलन,आकृतिबंध फल
pattern problem,प्रति रूप समस्या,आकृतिबंध प्रश्न
payload velocity,नीतभार वेग,अभिझार वेग
payoff function,भुगतान फलन,देयक फल
payoff matrix,भुगतान आव्यूह,देयक सारणी
p-basis,p-आधार,p-पायाधार
p-chart,p-संचित्र,p-तक्ता
Peano curve,पियानो-वक्र,पियानो वक्र
Peano space,पियानो-समष्टि,पियानो अवकाश
